"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"12000","Florida","1","Personal income (millions of dollars, seasonally adjusted)",461218.7,467863.4,476747.5,485577.6,494529.6,498505.2,498446.0,498674.0,505517.3,511563.4,516094.9,523637.1,527581.7,533034.8,543945.1,557332.7,567892.9,581699.8,593175.0,610262.0,621623.8,635669.2,650117.1,661754.8,684370.4,695196.3,700669.0,709162.9,715938.3,727432.6,731708.0,733963.8,728694.0,747313.6,729488.7,714480.1,689651.5,686967.5,680791.0,689613.1,712930.8,728077.9,739418.4,749402.9,761433.5,769584.8,774402.4,780217.1,788129.1,794829.0,794151.4,825097.5,792654.6,798704.7,805807.8,814735.8,834947.8,854350.9,869565.2,886785.5,904536.5,916335.4,924420.1,934047.5,940523.8,946611.2,957633.9,971510.0,996444.0,1016781.2,1032618.7,1046680.6,1066193.0,1080295.4,1094250.1,1108016.0,1127664.5,1135582.2,1142853.4,1153097.0,1175293.1,1246105.4,1216737.0,1201848.2,1363364.2,1280833.8
"12000","Florida","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",18782001,18825068,18876163,18932747,18981556,19029572,19089630,19154955,19214245,19271676,19337994,19405817,19462774,19520194,19592780,19673396,19745612,19816711,19904457,20001458,20087543,20173782,20273956,20380613,20478422,20576186,20675162,20768199,20851277,20933143,21016217,21091090,21154693,21219783,21288844,21353329,21407110,21462029,21529361,21600635,21659884,21710061,21761157,21814197,21863957,21916767
"12000","Florida","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37958,38676,39172,39582,40114,40442,40567,40732,41018,41243,41067,42518,40727,40917,41128,41413,42285,43113,43687,44336,45030,45422,45596,45830,45928,46005,46318,46779,47788,48573,49134,49627,50400,50910,51400,51890,52677,52911,53083,53383,54261,57398,55913,55095,62357,58441
"13000","Georgia","1","Personal income (millions of dollars, seasonally adjusted)",231546.5,235809.1,239338.0,242785.1,246542.9,249242.2,249887.0,251610.8,252380.5,256065.7,257080.1,259993.5,261807.6,264520.9,268108.7,271208.4,273639.6,279061.7,283155.3,287810.4,291559.8,296491.9,299647.0,306404.7,312482.9,316555.4,319872.9,325264.0,328663.8,333494.8,335294.0,336993.3,333119.1,344915.5,336243.1,333035.5,328390.5,331140.2,329570.0,329877.6,332196.7,335977.5,340259.9,344668.0,357549.6,359326.3,363666.7,364459.7,367238.4,369428.7,368727.4,380432.6,372655.3,376518.0,377984.3,381651.3,392278.1,399723.3,406331.1,412831.2,420780.9,425630.3,430118.4,433220.1,438635.7,441363.6,445615.2,450480.2,460540.4,466234.2,471409.2,478769.6,485355.3,490318.5,496482.2,500543.4,512746.0,516090.4,519582.5,524693.0,530578.5,578265.1,561497.2,547925.0,624799.4,586626.1
"13000","Georgia","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9678771,9700354,9724927,9749239,9770777,9792056,9817171,9843348,9867600,9891089,9914324,9934335,9950131,9966307,9988531,10014254,10036885,10059248,10086928,10117037,10143010,10169310,10200225,10232929,10262460,10292468,10323352,10352363,10377840,10403070,10431211,10458594,10481854,10506199,10534305,10563140,10588013,10613934,10640989,10665810,10685821,10702475,10720826,10741218,10757490,10775320
"13000","Georgia","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",34322,34636,34988,35353,36594,36696,37044,37026,37217,37350,37191,38295,37452,37779,37842,38111,39084,39737,40283,40806,41485,41854,42168,42336,42742,42882,43166,43515,44377,44817,45192,45778,46304,46669,47130,47386,48427,48624,48828,49194,49653,54031,52374,51011,58080,54442
"15000","Hawaii *","1","Personal income (millions of dollars, seasonally adjusted)",34678.3,35503.4,35793.7,36340.7,36821.0,36905.8,37291.4,37216.2,37994.7,38533.0,38950.0,39510.6,39780.1,40299.0,40845.2,41561.4,42266.3,43109.4,44073.8,45169.2,45720.6,46753.6,47263.4,48353.9,49344.3,50136.6,50860.2,51255.0,52018.0,52982.2,53687.4,54400.7,55157.5,56862.1,56014.2,55610.6,55278.3,55519.9,55131.8,55374.0,55706.8,56352.8,57217.5,57727.3,58786.9,58986.1,59319.9,60059.5,60817.6,61537.3,61333.5,62539.8,61799.5,62200.0,62699.2,63386.3,64590.2,65691.5,66591.6,67273.4,68137.9,68846.9,69365.8,70085.6,70674.5,71193.2,71835.2,72583.8,73548.8,74116.8,74729.9,75431.4,75425.7,75814.3,76489.7,77006.0,77668.6,78172.3,78743.1,79480.4,77356.7,87787.7,82980.6,81984.4,91749.7,85039.6
"15000","Hawaii *","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1358217,1362128,1366093,1370212,1373990,1377640,1381688,1385819,1389600,1393288,1397207,1401075,1404282,1407202,1409708,1411653,1413153,1414508,1416537,1418802,1420500,1422085,1423877,1425496,1426795,1428107,1428668,1428230,1427283,1426138,1425613,1425263,1424382,1423427,1422350,1420781,1418688,1416525,1414992,1413642,1411684,1408762,1405965,1403784,1401274,1398512
"15000","Hawaii *","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",41015,41371,41884,42130,42786,42817,42933,43339,43766,44167,43897,44637,44008,44201,44477,44902,45706,46441,47010,47416,47968,48413,48716,49166,49534,49851,50281,50821,51531,51970,52419,52925,52953,53262,53777,54200,54747,55186,55649,56224,54797,62315,59020,58402,65476,60807
"16000","Idaho","1","Personal income (millions of dollars, seasonally adjusted)",31826.4,32656.7,32852.9,33558.5,33884.3,34209.6,34049.8,34073.8,34568.8,34840.8,35330.8,35906.2,35768.3,36075.1,36709.1,37210.6,38348.6,39187.1,39606.1,40507.2,40778.1,41567.3,42346.9,43224.7,45083.1,46221.0,46318.4,47288.6,48631.5,49167.1,49261.3,49848.2,49963.6,51705.6,50383.8,49502.6,48979.2,48542.0,48317.1,48659.7,49267.5,50021.7,50865.0,51576.0,52672.1,53021.8,53560.1,53840.9,54946.1,55683.9,55914.4,58163.8,57248.3,58319.5,58845.7,59201.4,60010.8,61416.0,62253.6,63525.1,64984.2,65103.4,65820.7,65994.3,67324.5,67619.2,68227.7,68866.0,70760.4,71716.0,72450.2,73339.1,75554.0,76201.0,76983.2,77984.4,80815.9,81547.4,82129.2,82844.1,86666.9,92365.1,87911.3,89367.6,101872.6,93450.3
"16000","Idaho","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1565685,1569219,1572733,1576305,1579342,1582523,1585898,1589013,1591693,1594423,1598225,1602602,1606165,1609951,1614746,1620112,1624860,1629696,1635093,1640511,1645127,1649906,1656661,1664809,1672326,1679997,1688742,1698025,1706569,1715192,1724035,1732413,1740036,1747931,1756936,1766476,1775302,1784341,1794201,1804300,1813615,1822513,1831954,1841857,1850797,1860060
"16000","Idaho","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",31467,31877,32342,32720,33351,33505,33773,33883,34521,34924,34985,36293,35643,36224,36443,36542,36933,37686,38073,38723,39501,39459,39731,39641,40258,40250,40401,40557,41464,41812,42024,42334,43421,43595,43817,44147,45522,45702,45775,45915,47787,50680,47988,48520,55043,50240
"17000","Illinois","1","Personal income (millions of dollars, seasonally adjusted)",403404.8,408983.6,417578.5,421894.9,429307.7,428492.6,428220.6,427335.9,427410.6,433910.7,434128.1,437810.1,434839.5,439919.9,444642.4,449103.9,449909.4,456718.0,461941.5,470477.0,469779.0,474817.9,481584.8,489280.8,501291.7,509083.6,512635.5,518497.2,529502.3,537639.0,541737.9,550070.5,548376.2,563072.2,555564.0,548923.0,528306.6,527032.4,523516.0,529015.7,531517.6,540240.9,547732.5,552846.1,566440.6,568297.2,571745.8,572618.6,586856.4,593256.9,590479.6,609701.3,602941.2,608912.5,611306.8,615953.8,626125.4,634994.1,642134.8,651305.6,659092.3,664853.0,670776.5,673052.9,667847.1,670294.2,675743.2,680879.3,681101.2,688723.0,696351.9,707147.8,715495.2,724094.0,733101.2,740774.3,742298.6,744926.0,750430.5,757591.4,760301.6,814570.1,799747.1,793923.0,885872.2,841320.6
"17000","Illinois","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",12827357,12835849,12846033,12854915,12859449,12864139,12871295,12876823,12879154,12881041,12887208,12893225,12893027,12893754,12895991,12895776,12891026,12886369,12884398,12880835,12871318,12862636,12856676,12849190,12837195,12826006,12818447,12810571,12797623,12784650,12774957,12763531,12746490,12731033,12719357,12707131,12689730,12673674,12660557,12646093,12625670,12600937,12578779,12559673,12534991,12511672
"17000","Illinois","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",41436,42088,42638,43007,44049,44177,44420,44469,45566,46057,45819,47289,46765,47225,47403,47764,48571,49276,49838,50564,51206,51689,52173,52381,52024,52261,52716,53150,53221,53871,54509,55404,56133,56876,57637,58296,58496,58777,59273,59907,60219,64644,63579,63212,70672,67243
"18000","Indiana","1","Personal income (millions of dollars, seasonally adjusted)",168922.0,171167.9,173426.1,172489.9,176235.3,176005.3,175058.7,174678.1,175233.3,177443.4,178746.6,180661.0,179956.2,181389.0,183131.0,187238.6,187187.1,191482.5,193223.0,195782.3,193813.5,197267.9,199688.7,201985.9,207056.1,209194.5,210766.8,212007.5,214958.1,217152.3,217119.8,219786.6,224000.0,232602.1,227904.6,225439.4,220619.4,220476.5,220090.8,224186.1,226416.8,230911.1,233323.6,236177.3,241694.9,244521.2,249027.1,250732.8,253645.1,257312.0,257944.8,263643.9,261592.5,261639.5,261788.6,261788.6,266255.6,271092.3,274213.8,277418.1,279180.7,282298.8,283665.4,286140.5,287803.0,289441.2,291567.9,293605.4,296417.0,299871.0,302931.4,307356.1,311739.7,314503.7,318319.5,322566.3,326213.4,327742.4,330861.8,333910.3,338781.2,363680.2,349234.3,351342.3,400397.2,369892.8
"18000","Indiana","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6480780,6487216,6494882,6502458,6507868,6513675,6520660,6526865,6531515,6536155,6544158,6553369,6559406,6566264,6574413,6581934,6587163,6592696,6599132,6604327,6606465,6609317,6615573,6623116,6628367,6634233,6641828,6649053,6653723,6658655,6667512,6677709,6685010,6693482,6703408,6712551,6719081,6726545,6735602,6744123,6749563,6753337,6758180,6763974,6767021,6771473
"18000","Indiana","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",34937,35595,35924,36321,37139,37540,38190,38416,38834,39367,39416,40230,39881,39846,39819,39774,40420,41120,41553,42006,42259,42712,42878,43203,43420,43628,43899,44157,44549,45035,45434,46027,46633,46987,47486,48054,48550,48724,49121,49511,50193,53852,51676,51943,59169,54625
"19000","Iowa","1","Personal income (millions of dollars, seasonally adjusted)",78456.1,79940.8,81228.5,81288.8,82132.3,82658.5,82864.9,82628.8,83388.0,84108.7,84801.1,85398.2,84922.8,85844.5,86854.1,88153.8,91854.9,93122.5,93729.4,95865.6,94713.9,96360.9,97560.7,98182.7,101092.0,102417.9,103019.3,104457.9,107725.8,109534.6,110257.4,112526.2,115620.5,118942.7,116649.0,115814.8,112224.4,112966.5,112792.1,114355.1,114446.9,116476.5,117713.6,118987.0,124198.4,124746.4,126922.3,128045.7,130368.0,132374.6,131265.1,134628.0,134087.6,134803.6,135381.5,134758.6,136201.9,139589.8,140519.9,141813.6,143255.7,143797.6,145352.1,145945.2,144977.4,145403.4,146200.8,146578.4,147685.1,148952.3,149823.8,151729.1,153256.8,154491.6,156269.1,160271.1,158301.1,157728.4,160643.2,161985.5,162492.5,176419.8,167002.6,170811.6,190352.2,178648.6
"19000","Iowa","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3044940,3048807,3053360,3057823,3061115,3064659,3068424,3071346,3073385,3075503,3079620,3084580,3087847,3091607,3096387,3101156,3104697,3108471,3112759,3116417,3118474,3120932,3124306,3127451,3129403,3131686,3135011,3138252,3140123,3142214,3144971,3147082,3147677,3148894,3151570,3154519,3156137,3158196,3160900,3163175,3163869,3163732,3164061,3164703,3164178,3164353
"19000","Iowa","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37586,38204,38552,38912,40573,40705,41364,41690,42418,43042,42624,43645,43424,43603,43722,43454,43870,44906,45143,45505,45938,46075,46523,46666,46328,46430,46635,46707,47032,47404,47639,48213,48689,49062,49585,50807,50157,49943,50822,51210,51359,55763,52781,53974,60159,56457
"20000","Kansas","1","Personal income (millions of dollars, seasonally adjusted)",74078.4,76025.2,77421.8,76895.1,78264.1,78826.4,78709.1,78859.0,78252.8,79232.1,79576.9,80399.0,80945.0,81292.1,82387.1,82937.1,82606.8,83612.6,85112.5,86011.8,87509.6,89134.2,90206.6,90534.5,96282.6,98325.6,99182.1,100650.5,103581.4,105414.8,106277.4,108499.3,113678.9,118076.2,116569.2,115085.6,112609.3,111760.7,110700.0,111719.3,110814.3,113305.4,115447.0,117392.6,120564.5,123122.3,125051.5,125496.9,130598.0,130849.0,128792.9,133552.6,131477.6,134218.1,134547.8,135676.1,133848.8,136288.8,138148.3,139229.0,138261.5,138430.6,138497.0,138157.9,137060.5,138008.0,139087.3,139979.9,140521.2,141849.4,143044.7,145503.5,146642.6,147785.3,149695.5,151699.5,153359.0,153612.4,155872.3,157000.3,158409.5,169709.3,160691.8,165038.1,180862.3,170078.5
"20000","Kansas","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2850084,2855657,2860186,2863487,2865736,2868154,2872093,2876570,2880229,2883930,2887660,2890368,2891588,2893130,2895601,2898040,2899384,2900858,2903551,2906374,2907801,2909519,2911417,2912401,2912336,2912542,2913167,2913212,2912049,2910992,2911550,2912530,2912179,2912328,2913161,2913608,2912859,2912498,2913537,2914991,2915050,2914318,2914230,2914698,2913752,2913307
"20000","Kansas","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",38881,39678,40363,40996,42071,42927,43540,43627,45343,45372,44601,46206,45469,46392,46466,46816,46165,46982,47579,47905,47548,47579,47570,47438,47062,47384,47744,48050,48255,48729,49130,49958,50355,50745,51386,52066,52649,52742,53499,53860,54342,58233,55140,56623,62072,58380
"21000","Kentucky","1","Personal income (millions of dollars, seasonally adjusted)",98357.6,99977.5,101681.4,102749.1,103458.4,104254.9,104276.6,104517.7,104857.8,106350.0,107016.1,108049.7,108163.7,109025.9,110411.8,111905.2,113723.5,115363.0,117143.3,119583.7,119644.1,121703.6,123300.4,124574.6,127586.7,129078.9,129885.5,130894.1,133023.0,134779.3,135335.6,137089.3,139138.7,145048.9,141432.8,140669.9,138312.7,139893.0,139686.7,141554.4,142273.7,144895.3,146675.0,147360.8,149905.4,151186.1,153005.9,154777.6,156182.9,157636.8,156937.5,159785.6,158768.9,158918.4,159450.8,159761.0,163272.5,165988.5,167673.8,169933.5,171931.3,173926.2,175000.7,176466.6,175561.3,176492.5,177861.7,178847.1,179933.6,181420.7,183047.5,185502.2,185532.7,187641.7,189307.4,190966.3,193839.2,195157.8,197040.0,198965.3,200695.5,227604.3,209285.0,210205.6,241175.1,220716.2
"21000","Kentucky","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4336185,4343844,4351886,4358032,4362766,4367832,4373397,4378151,4381853,4385631,4391029,4396652,4400168,4404266,4408605,4411917,4413643,4415628,4419292,4423220,4425087,4427452,4431047,4434434,4436313,4438644,4442811,4447424,4450287,4453398,4457230,4460101,4461055,4462862,4465841,4468522,4469484,4471071,4473966,4476796,4477580,4477422,4478653,4480945,4480430,4480714
"21000","Kentucky","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",32811,33356,33704,33814,34360,34614,34986,35352,35643,35944,35740,36343,36082,36083,36168,36211,36993,37591,37941,38418,38854,39284,39494,39795,39574,39763,40034,40214,40432,40738,41068,41591,41589,42045,42390,42736,43369,43649,44041,44444,44822,50834,46729,46911,53829,49259
"22000","Louisiana","1","Personal income (millions of dollars, seasonally adjusted)",105626.0,107084.9,107747.8,108783.9,113412.4,114876.1,115345.1,116036.1,116565.3,117708.4,118606.8,120037.2,119569.6,121213.8,123012.7,124883.1,124758.8,126809.7,128261.3,131203.9,133423.1,135063.5,141117.3,142136.6,142910.6,144885.9,146174.8,148610.6,151830.9,160644.8,161416.6,163752.9,166155.8,173677.7,171144.2,172499.5,167968.9,165624.6,164677.4,165234.1,169651.6,172705.4,176077.5,176768.8,177540.5,178132.9,179552.2,181068.2,185299.2,188782.5,187982.7,192978.7,190285.7,191316.2,191779.8,192607.4,196440.1,199669.9,201776.3,203289.4,200883.5,200698.2,201534.8,202337.4,196870.5,198911.5,201058.8,203921.7,203031.7,204669.2,207337.5,209774.3,211789.2,214127.1,216251.2,218278.8,219848.9,221116.7,222744.6,224528.5,224128.0,250861.4,239656.8,230662.5,264456.4,246778.4
"22000","Louisiana","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4527109,4539024,4549255,4557885,4565115,4572243,4579987,4587035,4593160,4598869,4605928,4612909,4617805,4622899,4629052,4634936,4639264,4643471,4649423,4655719,4659957,4664354,4669408,4673707,4676445,4679405,4681044,4680025,4677271,4674446,4673196,4671747,4668290,4665401,4664325,4663547,4660942,4658811,4657862,4656516,4652911,4648004,4644149,4641229,4636038,4631606
"22000","Louisiana","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37475,38049,38705,38783,38891,38960,39204,39474,40342,41050,40813,41834,41207,41384,41430,41556,42343,43000,43398,43664,43108,43028,43161,43293,42098,42508,42952,43573,43408,43785,44367,44903,45368,45897,46363,46805,47168,47462,47821,48218,48169,53972,51604,49699,57044,53281
"23000","Maine","1","Personal income (millions of dollars, seasonally adjusted)",34288.6,34970.4,35389.6,35780.9,36704.5,37103.0,37078.8,37347.3,37701.2,38118.0,38537.8,38937.1,39373.4,39779.7,40470.2,41367.2,41475.9,42020.2,42474.5,43291.7,42487.8,43091.8,43604.9,44500.6,45194.8,45609.4,45668.9,45925.5,46641.2,47295.1,47603.7,47889.2,48613.8,50203.8,49567.1,49396.7,48628.3,49573.5,49536.4,49873.6,49996.1,50519.1,51000.1,50899.3,52339.4,52490.6,52926.3,53399.9,53407.0,53948.3,53523.8,54250.8,53378.2,53582.1,53781.6,54226.1,54579.0,55527.4,56165.7,57182.2,57249.1,58124.2,58662.6,59289.3,59337.6,59685.9,60114.8,60698.7,61439.6,62033.9,62726.7,63514.6,64173.3,64761.9,65512.1,66039.3,67191.7,67679.3,67971.4,68579.4,70306.6,77809.9,72047.6,72607.1,81649.0,75278.9
"23000","Maine","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1328730,1327991,1327953,1328373,1328266,1328314,1328574,1328660,1328359,1328110,1328397,1328801,1328488,1328400,1329027,1329971,1330382,1330864,1331210,1330994,1330061,1329317,1329687,1330736,1331224,1331874,1332988,1334119,1334623,1335228,1336507,1337854,1338524,1339483,1341043,1342703,1343738,1344997,1346669,1348324,1349254,1349857,1350792,1351930,1352370,1353109
